,User,REGISTERED_TIME,LAST_SEEN_TIME,FINGERPRINT,AVG_RATING,Total_RATING
0,sturles                         ,"Mar 15, 2011","Dec 23, 2014",DEFF29B442C2F94DF6BB09E0EE6880F512F5590F,1.9,398
1,nanotube                        ,"Mar 6, 2011","Feb 17, 2015",CDAEE0F495D53CF03AD3E0CC43CB529A9ADA9573,3.6,205
2,bcb                             ,"Jun 23, 2012","Dec 23, 2014",D8249B78EB762933E1402A477ABE99DB1179678E,2.5,250
3,keefe                           ,"Mar 6, 2011","Feb 24, 2014",13B891C2886F41397B6EE0E58BF5A807212607F0,2.9,201
4,bigbitz                         ,"Apr 26, 2013","Apr 27, 2015",E6D96C3A035A057AD9DD8A9DAB6B34E4289B7F96,2.8,146
5,episking-                       ,"Jun 9, 2011","Jan 26, 2015",EBFC267F8F10EFD1FB84854D721730127CD7574D,2.8,139
6,glooboy                         ,"Feb 12, 2012","Jan 2, 2015",F57F9D56107727EE2A3E63C2A23D510BD6E310D3,2.6,195
7,michail1                        ,"Jun 1, 2012","Dec 25, 2014",CCF673907C5AB709BACE197D020DBE2CC103BB05,2.6,134
8,imsaguy                         ,"Jun 29, 2011","Apr 26, 2016",A1398F4C58AC3D387F012AFA7D7EA76776E6CE48,2.9,134
9,ne0futur                        ,"Mar 11, 2011","Dec 20, 2014",9CCD7DA270508805F47103D1DF76B78C690B4E07,1.9,164
10,rg                              ,"Jun 5, 2011","Dec 20, 2014",8BC0A2E17A8651A84BCC52E20089196E17BF8D89,2.4,203
11,doctorbtc                       ,"Apr 17, 2013","Dec 20, 2014",23ACAB464F84DB0F61A38440FDE94271B5D377B8,2.1,128
12,azelphur                        ,"Apr 6, 2012","Mar 9, 2016",AF97CD440E9F6124753BADFF61AFBDB270AC7F3E,2.9,119
13,gigavps                         ,"Nov 11, 2011","Jul 2, 2014",C4D30ACE7ACB2C16BCE9FD55F83554D76ADE3A3F,2.8,97
14,mircea_popescu                  ,"Jul 22, 2011","Mar 26, 2016",6160E1CAC8A3C52966FD76998A736F0E2FB7B452,2.9,120
15,toffoo                          ,"Mar 15, 2011","Nov 24, 2016",3424E677E881B1EF478A3E8D65CDAF66E5FCF278,2.2,110
16,cory                            ,"Jun 28, 2011","Apr 27, 2015",0742891BFA5CD8762953A89350F34BFE8E77CF43,2,108
17,yossarian                       ,"Jun 21, 2011","Oct 1, 2013",656CA06170F68100AEE52AA3042C44D6DDD681A5,2.8,78
18,blazedout419                    ,"May 18, 2013","Dec 27, 2014",244EE487FFF91C9EA7D21D28104499EDE036C548,2.4,97
19,copumpkin                       ,"Jun 18, 2011","Apr 20, 2016",C275212F15F29AB8FB97E5F51AF929469280FBD6,4,53
20,mbs                             ,"Apr 17, 2011","Oct 2, 2014",DDBFEED420FEC19A912A61CD09789601CEF3EA59,2.3,91
21,pigeons                         ,"Apr 27, 2011","Jun 18, 2016",749A341F294A03FE43867F44145681B18C324970,2,103
22,mndrix                          ,"Mar 7, 2011","Aug 31, 2011",60E2810AB29BE577E40EF118CE52C98A48081991,3.1,65
23,jcpham                          ,"Nov 11, 2011","Oct 8, 2015",F7299BD73879E866613EAB24C71FB5ED6ACE04AF,2.3,87
24,bonks                           ,"Mar 20, 2012","Aug 4, 2014",A52E93276CF9747FFA2EBE9D65D73C12F7C13EB6,1.9,103
25,danieldaniel                    ,"Jul 13, 2011","Nov 16, 2014",80888C2F68D79F99837A0B8ECED02540063A2FEF,1.8,138
26,immuzikation                    ,"Aug 30, 2012","Nov 6, 2014",62CC8F7F5953C9A540FBCE484C0EEEF1F9709400,2.1,88
27,i}ruid                          ,"Jun 5, 2011","Apr 28, 2014",E0DCF55C93861691A67FFB18F6D95E52FDA66E16,3.2,54
28,kakobrekla                      ,"May 13, 2011","Dec 7, 2016",27C3CE9A20851312F086268C27AF75321F2489E8,2.2,85
